x,y,forma
1,2,circulo
1.3,2.5circulo
1,4,circulo
1.5,5,circulo
3,5,circulo
2,4.5,circulo
3,5,circulo
3,4.5,circulo
3,4.1,circulo
3,6,circulo
2.9,6,circulo
1,2,circulo
1.3,2.5circulo
1,4.7,circulo
1.5,5.8,circulo
3,5.5,circulo
2,4.9,circulo
3,5.6,circulo
3,4.5,circulo
3,4.3,circulo
3,6.5,circulo
2.9,6,circulo
2.5,9.5,circulo
2,5.5,circulo
3.5,7,circulo
4,5,rombo
3,7,rombo
4,4,rombo
4.5,5,rombo
3.5,7,rombo
4.5,4,rombo
4.2,5,rombo
3.3,7,rombo
4.7,4,rombo
4.9,5,rombo
3.9,7,rombo
4.9,4,rombo
4.2,5,rombo
3.5,7.5,rombo
4.5,4.5,rombo
4.2,5.5,rombo
3.3,7.5,rombo
4.7,4.6,rombo
4,5,rombo
5,7,rombo
5,4,rombo
5.5,5,rombo
5.5,7,rombo
5.5,4,rombo
6.2,5,rombo
